Datetime,Adj Close,Close,High,Low,Open,Volume
2025-08-11,129.62,129.62,130.00,129.57,129.71,440.92K
2025-08-12,129.11,129.11,129.70,128.98,129.57,804.35K
2025-08-13,129.83,129.83,129.85,129.06,129.15,776.31K
2025-08-14,129.51,129.51,130.06,129.44,129.82,739.84K
2025-08-15,128.80,128.80,129.62,128.64,129.56,830.19K
2025-08-18,128.83,128.83,129.18,128.70,128.70,784.17K
2025-08-19,129.07,129.07,129.15,128.73,129.04,771.85K
2025-08-20,129.46,129.46,129.49,128.88,129.04,744.06K
2025-08-21,129.05,129.05,129.55,128.97,129.36,879.01K
2025-08-22,129.44,129.44,129.55,128.94,129.12,723.69K
2025-08-25,128.99,128.99,129.31,128.84,129.28,677.29K
2025-08-26,129.43,129.43,129.50,129.15,129.25,1.01M
2025-08-27,129.78,129.78,129.83,129.33,129.46,1.06M
2025-08-28,129.69,129.69,129.90,129.50,129.68,873.73K
2025-08-29,129.55,129.55,129.77,129.42,129.64,951.69K
2025-09-01,128.16,128.16,128.49,128.05,128.49,516.80K
2025-09-02,127.79,127.79,128.21,127.65,128.17,1.13M
2025-09-03,128.20,128.20,128.33,127.61,127.80,1.47M
2025-09-04,128.44,128.44,128.68,128.25,128.27,1.07M
2025-09-05,129.09,129.09,129.20,128.51,128.59,1.09M
2025-09-08,129.31,129.31,129.33,128.91,128.94,765.01K
2025-09-09,129.31,129.31,129.40,129.14,129.30,0.06K
2025-09-10,129.37,129.37,129.55,129.32,129.55,0.05K
2025-09-11,129.40,129.40,129.40,129.34,129.34,0.00K
