Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,3.75,-0.9232710025231478,-0.9232710025231478
2024-11-04,7.25,-0.24618848631692342,-0.24618848631692342
2024-11-05,23.25,2.8490458734829596,2.8490458734829596
2024-11-06,9.25,0.14071580865806194,0.14071580865806194
2024-11-07,17.25,1.6883329885580034,1.6883329885580034
2024-11-10,3.75,-0.9232710025231478,-0.9232710025231478
2024-11-11,6.25,-0.4396406338044161,-0.4396406338044161
2024-11-15,12.75,0.8177983248642863,0.8177983248642863
2024-11-17,3.25,-1.0199970762668942,-1.0199970762668942
2024-11-18,15.75,1.3981547673267642,1.3981547673267642
2024-11-19,9.75,0.23744188240180827,0.23744188240180827
2024-11-20,6.25,-0.4396406338044161,-0.4396406338044161
2024-11-21,7.0,-0.29455152318879657,-0.29455152318879657
2024-11-24,4.25,-0.8265449287794014,-0.8265449287794014
2024-11-25,11.5,0.5759831405049205,0.5759831405049205
2024-11-26,10.25,0.3341679561455546,0.3341679561455546
2024-11-29,5.75,-0.5363667075481624,-0.5363667075481624
2024-12-01,6.0,-0.48800367067628925,-0.48800367067628925
2024-12-02,11.25,0.5276201036330473,0.5276201036330473
2024-12-03,12.0,0.6727092142486668,0.6727092142486668
2024-12-04,13.5,0.9628874354799059,0.9628874354799059
2024-12-05,8.25,-0.05273633882943075,-0.05273633882943075
2024-12-08,5.25,-0.6330927812919088,-0.6330927812919088
2024-12-10,6.5,-0.39127759693254294,-0.39127759693254294
2024-12-13,8.25,-0.05273633882943075,-0.05273633882943075
2024-12-15,2.25,-1.2134492237543868,-1.2134492237543868
2024-12-16,7.0,-0.29455152318879657,-0.29455152318879657
2024-12-17,7.25,-0.24618848631692342,-0.24618848631692342
2024-12-18,19.5,2.123600320404862,2.123600320404862
2024-12-22,3.0,-1.0683601131387672,-1.0683601131387672
2024-12-23,6.75,-0.3429145600606698,-0.3429145600606698
2024-12-24,4.5,-0.7781818919075283,-0.7781818919075283
2024-12-25,3.25,-1.0199970762668942,-1.0199970762668942
2024-12-26,8.0,-0.10109937570130392,-0.10109937570130392
2024-12-27,5.75,-0.5363667075481624,-0.5363667075481624
2024-12-29,4.5,-0.7781818919075283,-0.7781818919075283
2024-12-30,10.25,0.3341679561455546,0.3341679561455546
2024-12-31,7.0,-0.29455152318879657,-0.29455152318879657
2025-01-01,7.25,-0.24618848631692342,-0.24618848631692342
2025-01-02,8.5,-0.004373301957557576,-0.004373301957557576
2025-01-03,7.25,-0.24618848631692342,-0.24618848631692342
2025-01-05,2.5,-1.1650861868825138,-1.1650861868825138
2025-01-06,7.5,-0.19782544944505026,-0.19782544944505026
2025-01-07,8.0,-0.10109937570130392,-0.10109937570130392
2025-01-08,7.5,-0.19782544944505026,-0.19782544944505026
2025-01-09,5.75,-0.5363667075481624,-0.5363667075481624
2025-01-12,4.5,-0.7781818919075283,-0.7781818919075283
2025-01-16,12.0,0.6727092142486668,0.6727092142486668
2025-01-17,7.254028320312273,-0.2454091991017468,-0.2454091991017468
2025-01-19,2.5,-1.1650861868825138,-1.1650861868825138
2025-01-20,13.75,1.011250472351779,1.011250472351779
2025-01-21,4.75,-0.7298188550356551,-0.7298188550356551
2025-01-22,7.0,-0.29455152318879657,-0.29455152318879657
2025-01-23,6.5,-0.39127759693254294,-0.39127759693254294
2025-01-26,11.5,0.5759831405049205,0.5759831405049205
2025-01-27,9.25,0.14071580865806194,0.14071580865806194
2025-01-28,7.75,-0.14946241257317708,-0.14946241257317708
2025-01-29,9.75,0.23744188240180827,0.23744188240180827
2025-02-02,9.5,0.1890788455299351,0.1890788455299351
2025-02-03,8.0,-0.10109937570130392,-0.10109937570130392
2025-02-04,9.5,0.1890788455299351,0.1890788455299351
2025-02-05,11.5,0.5759831405049205,0.5759831405049205
2025-02-06,5.0,-0.681455818163782,-0.681455818163782
2025-02-09,2.75,-1.1167231500106405,-1.1167231500106405
2025-02-11,6.25,-0.4396406338044161,-0.4396406338044161
2025-02-14,10.75,0.430894029889301,0.430894029889301
2025-02-16,2.75,-1.1167231500106405,-1.1167231500106405
2025-02-17,3.75,-0.9232710025231478,-0.9232710025231478
2025-02-18,6.25,-0.4396406338044161,-0.4396406338044161
2025-02-19,7.0,-0.29455152318879657,-0.29455152318879657
2025-02-20,5.0,-0.681455818163782,-0.681455818163782
2025-02-23,1.5,-1.3585383343700064,-1.3585383343700064
2025-02-24,9.75,0.23744188240180827,0.23744188240180827
2025-02-25,11.25,0.5276201036330473,0.5276201036330473
2025-02-26,10.75,0.430894029889301,0.430894029889301
2025-03-02,3.0,-1.0683601131387672,-1.0683601131387672
2025-03-03,17.0,1.6399699516861301,1.6399699516861301
2025-03-04,19.0,2.0268742466611154,2.0268742466611154
2025-03-05,16.0,1.4465178041986375,1.4465178041986375
2025-03-06,10.25,0.3341679561455546,0.3341679561455546
2025-03-09,4.0,-0.8749079656512746,-0.8749079656512746
2025-03-11,13.25,0.9145243986080327,0.9145243986080327
2025-03-16,3.5,-0.971634039395021,-0.971634039395021
