Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,5.75,0.48695028716870736,0.48695028716870736
2022-12-21,4.75,0.08769597421446094,0.08769597421446094
2022-12-27,3.75,-0.31155833873978545,-0.31155833873978545
2022-12-28,3.25,-0.5111854952169087,-0.5111854952169087
2022-12-29,4.75,0.08769597421446094,0.08769597421446094
2022-12-30,3.75,-0.31155833873978545,-0.31155833873978545
2023-01-03,8.5,1.584899647792885,1.584899647792885
2023-01-04,6.25,0.6865774436458305,0.6865774436458305
2023-01-05,3.75,-0.31155833873978545,-0.31155833873978545
2023-01-10,4.75,0.08769597421446094,0.08769597421446094
2023-01-11,3.75,-0.31155833873978545,-0.31155833873978545
2023-01-17,3.0,-0.6109990734554702,-0.6109990734554702
2023-01-19,8.0,1.3852724913157617,1.3852724913157617
2023-01-20,4.5,-0.012117604024100656,-0.012117604024100656
2023-01-23,5.0,0.18750955245302253,0.18750955245302253
2023-01-24,3.75,-0.31155833873978545,-0.31155833873978545
2023-01-25,5.0,0.18750955245302253,0.18750955245302253
2023-01-30,8.0,1.3852724913157617,1.3852724913157617
2023-01-31,4.25,-0.11193118226266226,-0.11193118226266226
2023-02-01,5.75,0.48695028716870736,0.48695028716870736
2023-02-02,4.0,-0.21174476050122384,-0.21174476050122384
2023-02-06,10.0,2.1837811172242545,2.1837811172242545
2023-02-07,4.5,-0.012117604024100656,-0.012117604024100656
2023-02-08,3.25,-0.5111854952169087,-0.5111854952169087
2023-02-09,5.25,0.28732313069158416,0.28732313069158416
2023-02-15,3.75,-0.31155833873978545,-0.31155833873978545
2023-02-17,5.0,0.18750955245302253,0.18750955245302253
2023-02-21,4.75,0.08769597421446094,0.08769597421446094
2023-02-22,5.0,0.18750955245302253,0.18750955245302253
2023-02-27,10.0,2.1837811172242545,2.1837811172242545
2023-02-28,11.75,2.882476164894186,2.882476164894186
2023-03-01,12.5,3.1819168996098703,3.1819168996098703
2023-03-02,11.0,2.583035430178501,2.583035430178501
2023-03-03,12.0,2.9822897431327475,2.9822897431327475
2023-03-06,10.5,2.3834082737013778,2.3834082737013778
2023-03-07,4.25,-0.11193118226266226,-0.11193118226266226
2023-03-08,4.25,-0.11193118226266226,-0.11193118226266226
2023-03-09,3.5,-0.4113719169783471,-0.4113719169783471
2023-03-16,8.75,1.6847132260314466,1.6847132260314466
2023-03-20,21.75,6.87501929443665,6.87501929443665
