Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.125,-0.425962017411744,-0.425962017411744
2024-10-16,2.375,-0.27692407598185326,-0.27692407598185326
2024-10-17,1.125,-1.022113783131307,-1.022113783131307
2024-10-18,1.625,-0.7240379002715255,-0.7240379002715255
2024-10-21,4.0,0.6918225433124365,0.6918225433124365
2024-10-22,1.25,-0.9475948124163617,-0.9475948124163617
2024-10-23,1.25,-0.9475948124163617,-0.9475948124163617
2024-10-24,2.375,-0.27692407598185326,-0.27692407598185326
2024-10-28,2.875,0.021151806877928215,0.021151806877928215
2024-10-29,2.875,0.021151806877928215,0.021151806877928215
2024-11-04,2.5,-0.20240510526690791,-0.20240510526690791
2024-11-05,2.25,-0.35144304669679866,-0.35144304669679866
2024-11-06,5.625,1.6605691626067265,1.6605691626067265
2024-11-07,3.375,0.3192276897377097,0.3192276897377097
2024-11-11,2.375,-0.27692407598185326,-0.27692407598185326
2024-11-15,3.375,0.3192276897377097,0.3192276897377097
2024-11-18,2.625,-0.12788613455196254,-0.12788613455196254
2024-11-19,5.0,1.2879743090319995,1.2879743090319995
2024-11-20,2.25,-0.35144304669679866,-0.35144304669679866
2024-11-21,2.375,-0.27692407598185326,-0.27692407598185326
2024-11-25,2.625,-0.12788613455196254,-0.12788613455196254
2024-11-26,1.625,-0.7240379002715255,-0.7240379002715255
2024-11-28,1.25,-0.9475948124163617,-0.9475948124163617
2024-11-29,1.5,-0.7985568709864709,-0.7985568709864709
2024-12-02,4.875,1.213455338317054,1.213455338317054
2024-12-03,4.5,0.989898426172218,0.989898426172218
2024-12-04,2.125,-0.425962017411744,-0.425962017411744
2024-12-05,4.25,0.8408604847423273,0.8408604847423273
2024-12-10,3.0,0.09567077759287358,0.09567077759287358
2024-12-13,2.375,-0.27692407598185326,-0.27692407598185326
2024-12-16,1.375,-0.8730758417014163,-0.8730758417014163
2024-12-17,2.875,0.021151806877928215,0.021151806877928215
2024-12-18,1.875,-0.5749999588416348,-0.5749999588416348
2024-12-23,1.625,-0.7240379002715255,-0.7240379002715255
2024-12-26,0.875,-1.1711517245611978,-1.1711517245611978
2024-12-27,2.25,-0.35144304669679866,-0.35144304669679866
2024-12-30,2.25,-0.35144304669679866,-0.35144304669679866
2024-12-31,1.5,-0.7985568709864709,-0.7985568709864709
2025-01-02,3.875,0.6173035725974912,0.6173035725974912
2025-01-03,1.5,-0.7985568709864709,-0.7985568709864709
2025-01-06,3.5,0.39374666045265505,0.39374666045265505
2025-01-07,2.0059814453127274,-0.49691513894195194,-0.49691513894195194
2025-01-08,2.5,-0.20240510526690791,-0.20240510526690791
2025-01-09,2.125,-0.425962017411744,-0.425962017411744
2025-01-16,1.625,-0.7240379002715255,-0.7240379002715255
2025-01-17,1.625,-0.7240379002715255,-0.7240379002715255
2025-01-20,1.625,-0.7240379002715255,-0.7240379002715255
2025-01-21,4.25,0.8408604847423273,0.8408604847423273
2025-01-22,2.0,-0.5004809881266894,-0.5004809881266894
2025-01-23,2.375,-0.27692407598185326,-0.27692407598185326
2025-01-27,7.0,2.480277840471125,2.480277840471125
2025-01-28,2.0,-0.5004809881266894,-0.5004809881266894
2025-01-29,1.5,-0.7985568709864709,-0.7985568709864709
2025-02-03,3.25,0.24470871902276434,0.24470871902276434
2025-02-04,2.625,-0.12788613455196254,-0.12788613455196254
2025-02-05,2.75,-0.05336716383701716,-0.05336716383701716
2025-02-06,1.875,-0.5749999588416348,-0.5749999588416348
2025-02-11,1.75,-0.6495189295565801,-0.6495189295565801
2025-02-14,1.75,-0.6495189295565801,-0.6495189295565801
2025-02-17,1.375,-0.8730758417014163,-0.8730758417014163
2025-02-18,1.0,-1.0966327538462524,-1.0966327538462524
2025-02-19,1.125,-1.022113783131307,-1.022113783131307
2025-02-20,1.375,-0.8730758417014163,-0.8730758417014163
2025-02-24,1.5,-0.7985568709864709,-0.7985568709864709
2025-02-25,3.5,0.39374666045265505,0.39374666045265505
2025-02-26,4.5,0.989898426172218,0.989898426172218
2025-03-03,5.5,1.586050191891781,1.586050191891781
2025-03-04,6.625,2.2567209283262892,2.2567209283262892
2025-03-05,6.0,1.8841260747515625,1.8841260747515625
2025-03-06,5.5,1.586050191891781,1.586050191891781
2025-03-11,6.75,2.331239899041235,2.331239899041235
2025-03-17,3.75,0.5427846018825458,0.5427846018825458
2025-03-18,2.0,-0.5004809881266894,-0.5004809881266894
2025-03-19,1.75,-0.6495189295565801,-0.6495189295565801
2025-03-20,3.625,0.46826563116760045,0.46826563116760045
2025-03-21,2.75,-0.05336716383701716,-0.05336716383701716
2025-03-24,1.375,-0.8730758417014163,-0.8730758417014163
2025-03-25,2.75,-0.05336716383701716,-0.05336716383701716
2025-03-26,2.0,-0.5004809881266894,-0.5004809881266894
2025-03-31,1.875,-0.5749999588416348,-0.5749999588416348
2025-04-01,2.75,-0.05336716383701716,-0.05336716383701716
2025-04-02,4.25,0.8408604847423273,0.8408604847423273
2025-04-03,4.25,0.8408604847423273,0.8408604847423273
2025-04-07,11.625,5.237479756924104,5.237479756924104
2025-04-08,4.375,0.9153794554572727,0.9153794554572727
2025-04-09,8.0,3.0764296061906884,3.0764296061906884
2025-04-15,3.375,0.3192276897377097,0.3192276897377097
2025-04-16,3.25,0.24470871902276434,0.24470871902276434
2025-04-17,2.125,-0.425962017411744,-0.425962017411744
2025-04-21,2.75,-0.05336716383701716,-0.05336716383701716
2025-04-22,2.875,0.021151806877928215,0.021151806877928215
2025-04-23,2.875,0.021151806877928215,0.021151806877928215
2025-04-24,1.875,-0.5749999588416348,-0.5749999588416348
2025-04-28,2.875,0.021151806877928215,0.021151806877928215
2025-04-29,2.0,-0.5004809881266894,-0.5004809881266894
2025-05-01,3.0,0.09567077759287358,0.09567077759287358
2025-05-05,1.375,-0.8730758417014163,-0.8730758417014163
2025-05-06,2.375,-0.27692407598185326,-0.27692407598185326
2025-05-07,2.125,-0.425962017411744,-0.425962017411744
2025-05-09,1.5,-0.7985568709864709,-0.7985568709864709
2025-05-14,2.0,-0.5004809881266894,-0.5004809881266894
2025-05-19,1.5,-0.7985568709864709,-0.7985568709864709
