Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,4.25,-0.3129669152234353,-0.3129669152234353
2022-12-21,4.0,-0.3994695394042234,-0.3994695394042234
2022-12-27,7.75,0.8980698233075984,0.8980698233075984
2022-12-28,5.0,-0.05345904268107092,-0.05345904268107092
2022-12-29,4.75,-0.13996166686185904,-0.13996166686185904
2022-12-30,9.25,1.4170855683923271,1.4170855683923271
2023-01-03,4.25,-0.3129669152234353,-0.3129669152234353
2023-01-04,4.0,-0.3994695394042234,-0.3994695394042234
2023-01-05,6.75,0.5520593265844459,0.5520593265844459
2023-01-10,6.0,0.29255145404208155,0.29255145404208155
2023-01-11,4.25,-0.3129669152234353,-0.3129669152234353
2023-01-17,5.5,0.11954620568050532,0.11954620568050532
2023-01-19,5.5,0.11954620568050532,0.11954620568050532
2023-01-20,6.0,0.29255145404208155,0.29255145404208155
2023-01-23,5.5,0.11954620568050532,0.11954620568050532
2023-01-24,3.5,-0.5724747877657996,-0.5724747877657996
2023-01-25,7.75,0.8980698233075984,0.8980698233075984
2023-01-30,4.25,-0.3129669152234353,-0.3129669152234353
2023-01-31,3.0,-0.7454800361273759,-0.7454800361273759
2023-02-01,16.0,3.7526564212736067,3.7526564212736067
2023-02-02,7.25,0.7250645749460222,0.7250645749460222
2023-02-06,4.75,-0.13996166686185904,-0.13996166686185904
2023-02-07,8.75,1.2440803200307509,1.2440803200307509
2023-02-08,3.25,-0.6589774119465878,-0.6589774119465878
2023-02-09,10.5,1.849598689296268,1.849598689296268
2023-02-15,6.5,0.4655567024036578,0.4655567024036578
2023-02-17,6.25,0.3790540782228697,0.3790540782228697
2023-02-21,5.25,0.0330435814997172,0.0330435814997172
2023-02-22,2.75,-0.831982660308164,-0.831982660308164
2023-02-27,10.5,1.849598689296268,1.849598689296268
2023-02-28,11.75,2.2821118102002083,2.2821118102002083
2023-03-01,11.0,2.022603937657844,2.022603937657844
2023-03-02,10.5,1.849598689296268,1.849598689296268
2023-03-03,8.75,1.2440803200307509,1.2440803200307509
2023-03-06,12.25,2.4551170585617847,2.4551170585617847
2023-03-07,8.0,0.9845724474883866,0.9845724474883866
2023-03-08,6.25,0.3790540782228697,0.3790540782228697
2023-03-09,10.75,1.936101313477056,1.936101313477056
2023-03-16,30.0,8.596803375397743,8.596803375397743
2023-03-20,10.25,1.7630960651154797,1.7630960651154797
2023-03-21,9.5,1.5035881925731154,1.5035881925731154
2023-03-22,11.25,2.109106561838632,2.109106561838632
2023-03-23,13.75,2.974132803646514,2.974132803646514
2023-03-24,7.75,0.8980698233075984,0.8980698233075984
2023-03-27,7.75,0.8980698233075984,0.8980698233075984
2023-03-28,5.5,0.11954620568050532,0.11954620568050532
2023-03-29,6.0,0.29255145404208155,0.29255145404208155
2023-04-03,4.75,-0.13996166686185904,-0.13996166686185904
2023-04-04,4.75,-0.13996166686185904,-0.13996166686185904
2023-04-05,5.75,0.20604882986129344,0.20604882986129344
2023-04-06,4.25,-0.3129669152234353,-0.3129669152234353
2023-04-11,4.25,-0.3129669152234353,-0.3129669152234353
2023-04-17,4.5,-0.22646429104264718,-0.22646429104264718
2023-04-18,5.75,0.20604882986129344,0.20604882986129344
2023-04-19,4.0,-0.3994695394042234,-0.3994695394042234
