Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.125,-1.0945928961918288,-1.0945928961918288
2024-10-16,1.75,-0.838349859539148,-0.838349859539148
2024-10-17,1.125,-1.0945928961918288,-1.0945928961918288
2024-10-18,1.125,-1.0945928961918288,-1.0945928961918288
2024-10-21,2.875,-0.37711239356432263,-0.37711239356432263
2024-10-22,2.25,-0.6333554302170034,-0.6333554302170034
2024-10-23,1.75,-0.838349859539148,-0.838349859539148
2024-10-24,3.0,-0.32586378623378653,-0.32586378623378653
2024-10-28,3.75,-0.018372142250569636,-0.018372142250569636
2024-10-29,3.75,-0.018372142250569636,-0.018372142250569636
2024-11-04,4.75,0.39161671639371953,0.39161671639371953
2024-11-05,4.375,0.2378708944021111,0.2378708944021111
2024-11-06,4.125,0.1353736797410388,0.1353736797410388
2024-11-07,4.5,0.2891195017326472,0.2891195017326472
2024-11-11,1.25,-1.0433442888612925,-1.0433442888612925
2024-11-15,6.875,1.262843041012834,1.262843041012834
2024-11-18,3.25,-0.22336657157271422,-0.22336657157271422
2024-11-19,2.0,-0.7358526448780757,-0.7358526448780757
2024-11-20,1.75,-0.838349859539148,-0.838349859539148
2024-11-21,4.625,0.3403681090631834,0.3403681090631834
2024-11-25,3.375,-0.17211796424217807,-0.17211796424217807
2024-11-26,2.125,-0.6846040375475395,-0.6846040375475395
2024-11-28,0.625,-1.2995873255139732,-1.2995873255139732
2024-11-29,5.375,0.6478597530464002,0.6478597530464002
2024-12-02,6.875,1.262843041012834,1.262843041012834
2024-12-03,5.625,0.7503569677074725,0.7503569677074725
2024-12-04,4.0,0.08412507241050265,0.08412507241050265
2024-12-05,5.25,0.5966111457158642,0.5966111457158642
2024-12-10,4.625,0.3403681090631834,0.3403681090631834
2024-12-13,3.25,-0.22336657157271422,-0.22336657157271422
2024-12-16,2.0,-0.7358526448780757,-0.7358526448780757
2024-12-17,1.375,-0.9920956815307564,-0.9920956815307564
2024-12-18,10.625,2.800301260928918,2.800301260928918
2024-12-23,2.375,-0.5821068228864672,-0.5821068228864672
2024-12-24,2.75,-0.4283610008948588,-0.4283610008948588
2024-12-26,4.0,0.08412507241050265,0.08412507241050265
2024-12-27,2.875,-0.37711239356432263,-0.37711239356432263
2024-12-30,1.75,-0.838349859539148,-0.838349859539148
2024-12-31,3.875,0.032876465079966506,0.032876465079966506
2025-01-02,4.625,0.3403681090631834,0.3403681090631834
2025-01-03,2.625,-0.47960960822539495,-0.47960960822539495
2025-01-06,2.5,-0.530858215555931,-0.530858215555931
2025-01-07,2.5,-0.530858215555931,-0.530858215555931
2025-01-08,2.0,-0.7358526448780757,-0.7358526448780757
2025-01-09,1.5,-0.9408470742002203,-0.9408470742002203
2025-01-16,6.25,1.0066000043601533,1.0066000043601533
2025-01-17,2.5,-0.530858215555931,-0.530858215555931
2025-01-20,1.875,-0.7871012522086118,-0.7871012522086118
2025-01-21,1.875,-0.7871012522086118,-0.7871012522086118
2025-01-22,3.0,-0.32586378623378653,-0.32586378623378653
2025-01-23,2.125,-0.6846040375475395,-0.6846040375475395
2025-01-27,3.25,-0.22336657157271422,-0.22336657157271422
2025-01-28,2.375,-0.5821068228864672,-0.5821068228864672
2025-01-29,5.375,0.6478597530464002,0.6478597530464002
2025-02-03,4.125,0.1353736797410388,0.1353736797410388
2025-02-04,1.75,-0.838349859539148,-0.838349859539148
2025-02-05,1.75,-0.838349859539148,-0.838349859539148
2025-02-06,2.25,-0.6333554302170034,-0.6333554302170034
2025-02-11,1.5,-0.9408470742002203,-0.9408470742002203
2025-02-14,1.875,-0.7871012522086118,-0.7871012522086118
2025-02-17,0.5,-1.3508359328445094,-1.3508359328445094
2025-02-18,2.5,-0.530858215555931,-0.530858215555931
2025-02-19,2.0,-0.7358526448780757,-0.7358526448780757
2025-02-20,1.125,-1.0945928961918288,-1.0945928961918288
2025-02-24,2.375,-0.5821068228864672,-0.5821068228864672
2025-02-25,2.75,-0.4283610008948588,-0.4283610008948588
2025-02-26,7.875,1.6728318996571232,1.6728318996571232
2025-03-03,6.125,0.9553513970296171,0.9553513970296171
2025-03-04,12.5,3.56903037088696,3.56903037088696
2025-03-05,7.5,1.5190860776655146,1.5190860776655146
2025-03-06,7.0,1.3140916483433702,1.3140916483433702
2025-03-11,9.0,2.1340693656319485,2.1340693656319485
2025-03-17,5.75,0.8016055750380087,0.8016055750380087
2025-03-18,4.375,0.2378708944021111,0.2378708944021111
2025-03-19,7.375,1.4678374703349786,1.4678374703349786
2025-03-20,3.625,-0.06962074958110578,-0.06962074958110578
2025-03-21,3.25,-0.22336657157271422,-0.22336657157271422
2025-03-24,1.625,-0.8895984668696841,-0.8895984668696841
2025-03-25,2.25,-0.6333554302170034,-0.6333554302170034
2025-03-26,2.375,-0.5821068228864672,-0.5821068228864672
2025-03-31,4.0,0.08412507241050265,0.08412507241050265
2025-04-01,2.625,-0.47960960822539495,-0.47960960822539495
2025-04-02,6.375,1.0578486116906893,1.0578486116906893
2025-04-03,4.0,0.08412507241050265,0.08412507241050265
2025-04-07,10.625,2.800301260928918,2.800301260928918
2025-04-08,9.125,2.1853179729624848,2.1853179729624848
2025-04-09,14.0,4.184013658853394,4.184013658853394
2025-04-15,4.375,0.2378708944021111,0.2378708944021111
2025-04-16,5.125,0.545362538385328,0.545362538385328
2025-04-17,4.0,0.08412507241050265,0.08412507241050265
2025-04-21,4.75,0.39161671639371953,0.39161671639371953
2025-04-22,3.0,-0.32586378623378653,-0.32586378623378653
2025-04-23,4.875,0.4428653237242557,0.4428653237242557
2025-04-24,2.875,-0.37711239356432263,-0.37711239356432263
2025-04-28,5.0,0.4941139310547918,0.4941139310547918
2025-04-29,2.125,-0.6846040375475395,-0.6846040375475395
2025-05-01,5.5,0.6991083603769364,0.6991083603769364
2025-05-05,2.25,-0.6333554302170034,-0.6333554302170034
2025-05-06,3.0,-0.32586378623378653,-0.32586378623378653
2025-05-07,4.125,0.1353736797410388,0.1353736797410388
2025-05-09,3.375,-0.17211796424217807,-0.17211796424217807
2025-05-14,3.875,0.032876465079966506,0.032876465079966506
2025-05-19,3.0,-0.32586378623378653,-0.32586378623378653
2025-05-20,2.75,-0.4283610008948588,-0.4283610008948588
2025-05-21,3.875,0.032876465079966506,0.032876465079966506
2025-05-22,1.375,-0.9920956815307564,-0.9920956815307564
