Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.5,-0.7710677758103264,-0.7710677758103264
2024-10-16,0.6875007999999525,-0.6521750815483074,-0.6521750815483074
2024-10-17,0.6874992000000475,-0.6521760960949095,-0.6521760960949095
2024-10-18,0.5624992000000475,-0.7314375540873881,-0.7314375540873881
2024-10-21,1.25,-0.29549902785545445,-0.29549902785545445
2024-10-22,1.125,-0.3747604858479331,-0.3747604858479331
2024-10-23,0.75,-0.6125448598253691,-0.6125448598253691
2024-10-24,1.0625007999999525,-0.4143907075708714,-0.4143907075708714
2024-10-28,1.5,-0.1369761118704971,-0.1369761118704971
2024-10-29,1.25,-0.29549902785545445,-0.29549902785545445
2024-11-04,1.8124992000000475,0.06117702583739851,0.06117702583739851
2024-11-05,1.1874992000000475,-0.3351302641249948,-0.3351302641249948
2024-11-06,1.25,-0.29549902785545445,-0.29549902785545445
2024-11-07,2.125,0.2593311780918962,0.2593311780918962
2024-11-11,0.5,-0.7710677758103264,-0.7710677758103264
2024-11-15,2.625,0.5763770100618109,0.5763770100618109
2024-11-18,1.125,-0.3747604858479331,-0.3747604858479331
2024-11-19,0.75,-0.6125448598253691,-0.6125448598253691
2024-11-20,0.875,-0.5332834018328905,-0.5332834018328905
2024-11-21,1.8125007999999525,0.06117804038400058,0.06117804038400058
2024-11-25,1.25,-0.29549902785545445,-0.29549902785545445
2024-11-26,1.4375007999999525,-0.17660633359343542,-0.17660633359343542
2024-11-28,0.25,-0.9295906917952838,-0.9295906917952838
2024-11-29,4.1875,1.5671452349677943,1.5671452349677943
2024-12-02,4.375,1.6860374219565122,1.6860374219565122
2024-12-03,1.5,-0.1369761118704971,-0.1369761118704971
2024-12-04,1.8125,0.06117753311069954,0.06117753311069954
2024-12-05,3.0625,0.8537921130354862,0.8537921130354862
2024-12-10,1.25,-0.29549902785545445,-0.29549902785545445
2024-12-13,0.875,-0.5332834018328905,-0.5332834018328905
2024-12-16,1.1875,-0.33512975685169377,-0.33512975685169377
2024-12-17,0.4375,-0.8106985048065658,-0.8106985048065658
2024-12-18,4.8125,1.9634525249301875,1.9634525249301875
