Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.875,-0.6746012044708203,-0.6746012044708203
2024-10-16,2.375,-0.40797017031583915,-0.40797017031583915
2024-10-17,4.5,0.7252117248428306,0.7252117248428306
2024-10-18,2.5,-0.34131241177709387,-0.34131241177709387
2024-10-21,1.875,-0.6746012044708203,-0.6746012044708203
2024-10-22,2.625,-0.2746546532383486,-0.2746546532383486
2024-10-23,2.875,-0.14133913616085805,-0.14133913616085805
2024-10-24,2.375,-0.40797017031583915,-0.40797017031583915
2024-10-28,1.875,-0.6746012044708203,-0.6746012044708203
2024-10-29,3.0,-0.07468137762211276,-0.07468137762211276
2024-11-04,1.75,-0.7412589630095655,-0.7412589630095655
2024-11-05,2.375,-0.40797017031583915,-0.40797017031583915
2024-11-06,3.875,0.39192293214910423,0.39192293214910423
2024-11-07,6.0,1.525104827307774,1.525104827307774
2024-11-11,2.125,-0.5412856873933297,-0.5412856873933297
2024-11-15,6.75,1.9250513785402457,1.9250513785402457
2024-11-18,3.25,0.0586341394553778,0.0586341394553778
2024-11-19,3.125,-0.008023619083367479,-0.008023619083367479
2024-11-20,1.875,-0.6746012044708203,-0.6746012044708203
2024-11-21,2.625,-0.2746546532383486,-0.2746546532383486
2024-11-25,5.75,1.3917893102302834,1.3917893102302834
2024-11-26,2.5,-0.34131241177709387,-0.34131241177709387
2024-11-28,1.25,-1.0078899971645467,-1.0078899971645467
2024-11-29,6.0,1.525104827307774,1.525104827307774
2024-12-02,6.75,1.9250513785402457,1.9250513785402457
2024-12-03,6.125,1.5917625858465192,1.5917625858465192
2024-12-04,0.875,-1.2078632727807825,-1.2078632727807825
2024-12-05,2.375,-0.40797017031583915,-0.40797017031583915
2024-12-10,3.625,0.25860741507161367,0.25860741507161367
2024-12-13,2.875,-0.14133913616085805,-0.14133913616085805
2024-12-16,2.5,-0.34131241177709387,-0.34131241177709387
2024-12-17,3.5,0.19194965653286836,0.19194965653286836
2024-12-18,3.875,0.39192293214910423,0.39192293214910423
2024-12-23,1.375,-0.9412322386258014,-0.9412322386258014
2024-12-24,0.5,-1.4078365483970183,-1.4078365483970183
2024-12-26,1.125,-1.0745477557032919,-1.0745477557032919
2024-12-27,1.75,-0.7412589630095655,-0.7412589630095655
2024-12-30,2.75,-0.2079968946996033,-0.2079968946996033
2024-12-31,2.0,-0.607943445932075,-0.607943445932075
2025-01-02,2.5,-0.34131241177709387,-0.34131241177709387
2025-01-03,1.5,-0.8745744800870561,-0.8745744800870561
2025-01-06,2.625,-0.2746546532383486,-0.2746546532383486
2025-01-07,1.25,-1.0078899971645467,-1.0078899971645467
2025-01-08,3.75,0.32526517361035895,0.32526517361035895
2025-01-09,1.5,-0.8745744800870561,-0.8745744800870561
2025-01-16,3.125,-0.008023619083367479,-0.008023619083367479
2025-01-17,3.5,0.19194965653286836,0.19194965653286836
2025-01-20,4.5,0.7252117248428306,0.7252117248428306
2025-01-21,2.125,-0.5412856873933297,-0.5412856873933297
2025-01-22,2.0,-0.607943445932075,-0.607943445932075
2025-01-23,2.625,-0.2746546532383486,-0.2746546532383486
2025-01-27,4.0,0.45858069068784946,0.45858069068784946
2025-01-28,1.75,-0.7412589630095655,-0.7412589630095655
2025-01-29,1.375,-0.9412322386258014,-0.9412322386258014
2025-02-03,3.0,-0.07468137762211276,-0.07468137762211276
2025-02-04,1.875,-0.6746012044708203,-0.6746012044708203
2025-02-05,1.25,-1.0078899971645467,-1.0078899971645467
2025-02-06,2.25,-0.47462792885458444,-0.47462792885458444
2025-02-11,1.25,-1.0078899971645467,-1.0078899971645467
2025-02-14,4.75,0.8585272419203211,0.8585272419203211
2025-02-17,0.625,-1.341178789858273,-1.341178789858273
2025-02-18,1.0,-1.1412055142420372,-1.1412055142420372
2025-02-19,2.0,-0.607943445932075,-0.607943445932075
2025-02-20,1.875,-0.6746012044708203,-0.6746012044708203
2025-02-24,2.875,-0.14133913616085805,-0.14133913616085805
2025-02-25,2.625,-0.2746546532383486,-0.2746546532383486
2025-02-26,4.5,0.7252117248428306,0.7252117248428306
2025-03-03,4.875,0.9251850004590665,0.9251850004590665
2025-03-04,6.75,1.9250513785402457,1.9250513785402457
2025-03-05,5.875,1.4584470687690287,1.4584470687690287
2025-03-06,7.5,2.3249979297727177,2.3249979297727177
2025-03-11,5.375,1.1918160346140476,1.1918160346140476
2025-03-17,6.875,1.991709137078991,1.991709137078991
2025-03-18,2.5,-0.34131241177709387,-0.34131241177709387
2025-03-19,3.125,-0.008023619083367479,-0.008023619083367479
2025-03-20,2.875,-0.14133913616085805,-0.14133913616085805
2025-03-21,2.5,-0.34131241177709387,-0.34131241177709387
2025-03-24,1.25,-1.0078899971645467,-1.0078899971645467
2025-03-25,2.625,-0.2746546532383486,-0.2746546532383486
2025-03-26,1.75,-0.7412589630095655,-0.7412589630095655
2025-03-31,3.0,-0.07468137762211276,-0.07468137762211276
2025-04-01,3.25,0.0586341394553778,0.0586341394553778
2025-04-02,2.75,-0.2079968946996033,-0.2079968946996033
2025-04-03,7.375,2.2583401712339723,2.2583401712339723
2025-04-07,8.0,2.5916289639276986,2.5916289639276986
2025-04-08,9.75,3.5248375834701324,3.5248375834701324
2025-04-09,8.75,2.99157551516017,2.99157551516017
2025-04-15,4.875,0.9251850004590665,0.9251850004590665
2025-04-16,2.875,-0.14133913616085805,-0.14133913616085805
2025-04-17,3.75,0.32526517361035895,0.32526517361035895
2025-04-21,4.0,0.45858069068784946,0.45858069068784946
2025-04-22,1.75,-0.7412589630095655,-0.7412589630095655
2025-04-23,2.25,-0.47462792885458444,-0.47462792885458444
2025-04-24,3.5,0.19194965653286836,0.19194965653286836
2025-04-28,2.0,-0.607943445932075,-0.607943445932075
2025-04-29,1.25,-1.0078899971645467,-1.0078899971645467
2025-05-01,2.875,-0.14133913616085805,-0.14133913616085805
2025-05-05,2.5,-0.34131241177709387,-0.34131241177709387
2025-05-06,2.25,-0.47462792885458444,-0.47462792885458444
2025-05-07,2.875,-0.14133913616085805,-0.14133913616085805
2025-05-09,1.875,-0.6746012044708203,-0.6746012044708203
2025-05-14,2.375,-0.40797017031583915,-0.40797017031583915
2025-05-19,3.375,0.12529189799412307,0.12529189799412307
2025-05-20,1.5,-0.8745744800870561,-0.8745744800870561
2025-05-21,1.75,-0.7412589630095655,-0.7412589630095655
2025-05-22,2.875,-0.14133913616085805,-0.14133913616085805
2025-05-23,6.625,1.8583936200015003,1.8583936200015003
2025-05-26,0.125,-1.6078098240132541,-1.6078098240132541
