Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.8125007999999525,-0.48211538054152253,-0.48211538054152253
2024-10-16,0.9375007999999525,-0.3836579357639534,-0.3836579357639534
2024-10-17,2.3125007999999525,0.6993739567893071,0.6993739567893071
2024-10-18,0.9374992000000475,-0.38365919601917176,-0.38365919601917176
2024-10-21,0.8124992000000475,-0.4821166407967409,-0.4821166407967409
2024-10-22,1.125,-0.23597239872520887,-0.23597239872520887
2024-10-23,0.9375007999999525,-0.3836579357639534,-0.3836579357639534
2024-10-24,1.0,-0.334429843502778,-0.334429843502778
2024-10-28,0.6874992000000475,-0.58057408557431,-0.58057408557431
2024-10-29,1.0625007999999525,-0.2852004909863843,-0.2852004909863843
2024-11-04,0.9375007999999525,-0.3836579357639534,-0.3836579357639534
2024-11-05,0.875,-0.4328872882803471,-0.4328872882803471
2024-11-06,1.625,0.1578573803850677,0.1578573803850677
2024-11-07,1.9375007999999525,0.4040016224565997,0.4040016224565997
2024-11-11,0.75,-0.5313447330579163,-0.5313447330579163
2024-11-15,2.5625007999999525,0.8962888463444454,0.8962888463444454
2024-11-18,1.1874992000000475,-0.18674430646403345,-0.18674430646403345
2024-11-19,1.25,-0.1375149539476397,-0.1375149539476397
2024-11-20,0.6875007999999525,-0.5805728253190917,-0.5805728253190917
2024-11-21,0.9374992000000475,-0.38365919601917176,-0.38365919601917176
2024-11-25,1.875,0.35477226994020594,0.35477226994020594
2024-11-26,1.1874992000000475,-0.18674430646403345,-0.18674430646403345
2024-11-28,0.3124992000000475,-0.8759464199070174,-0.8759464199070174
2024-11-29,4.5625,2.4716073326579426,2.4716073326579426
2024-12-02,4.125,2.1270062759364503,2.1270062759364503
2024-12-03,1.1875,-0.1867436763364243,-0.1867436763364243
2024-12-04,0.3125,-0.8759457897794083,-0.8759457897794083
2024-12-05,3.0625,1.2901179953271127,1.2901179953271127
2024-12-10,1.1875,-0.1867436763364243,-0.1867436763364243
2024-12-13,0.75,-0.5313447330579163,-0.5313447330579163
2024-12-16,0.375,-0.8267170673906237,-0.8267170673906237
2024-12-17,1.1875,-0.1867436763364243,-0.1867436763364243
2024-12-18,1.8125,0.3055435475514214,0.3055435475514214
2024-12-23,0.5625,-0.6790309002242699,-0.6790309002242699
2024-12-24,0.25,-0.9251745121681928,-0.9251745121681928
2024-12-26,0.375,-0.8267170673906237,-0.8267170673906237
2024-12-27,0.6875,-0.5805734554467008,-0.5805734554467008
2024-12-30,1.0,-0.334429843502778,-0.334429843502778
2024-12-31,0.9375,-0.38365856589156255,-0.38365856589156255
2025-01-02,0.75,-0.5313447330579163,-0.5313447330579163
2025-01-03,0.625,-0.6298021778354854,-0.6298021778354854
2025-01-06,1.0625,-0.2852011211139934,-0.2852011211139934
2025-01-07,0.5625,-0.6790309002242699,-0.6790309002242699
2025-01-08,1.625,0.1578573803850677,0.1578573803850677
2025-01-09,0.6875,-0.5805734554467008,-0.5805734554467008
2025-01-16,1.1875,-0.1867436763364243,-0.1867436763364243
2025-01-17,1.5,0.05939993560749855,0.05939993560749855
2025-01-20,1.375,-0.03905750917007059,-0.03905750917007059
2025-01-21,0.6875,-0.5805734554467008,-0.5805734554467008
2025-01-22,0.8125,-0.4821160106691317,-0.4821160106691317
2025-01-23,0.6875,-0.5805734554467008,-0.5805734554467008
2025-01-27,1.375,-0.03905750917007059,-0.03905750917007059
2025-01-28,0.5625,-0.6790309002242699,-0.6790309002242699
2025-01-29,0.5,-0.7282596226130545,-0.7282596226130545
2025-02-03,1.25,-0.1375149539476397,-0.1375149539476397
2025-02-04,0.6875,-0.5805734554467008,-0.5805734554467008
2025-02-05,0.25,-0.9251745121681928,-0.9251745121681928
2025-02-06,0.75,-0.5313447330579163,-0.5313447330579163
2025-02-11,0.5,-0.7282596226130545,-0.7282596226130545
2025-02-14,1.5,0.05939993560749855,0.05939993560749855
2025-02-17,0.25,-0.9251745121681928,-0.9251745121681928
2025-02-18,0.375,-0.8267170673906237,-0.8267170673906237
2025-02-19,0.8125,-0.4821160106691317,-0.4821160106691317
2025-02-20,0.6875,-0.5805734554467008,-0.5805734554467008
2025-02-24,0.8125,-0.4821160106691317,-0.4821160106691317
2025-02-25,0.75,-0.5313447330579163,-0.5313447330579163
2025-02-26,4.375,2.323921165491589,2.323921165491589
2025-03-03,4.4375,2.3731498878803734,2.3731498878803734
2025-03-04,5.5,3.2100381684897106,3.2100381684897106
2025-03-05,5.125,2.9146658341570038,2.9146658341570038
2025-03-06,6.0,3.603867947599987,3.603867947599987
2025-03-11,3.9375,1.9793201087700967,1.9793201087700967
2025-03-17,3.125,1.3393467177158973,1.3393467177158973
2025-03-18,0.875,-0.4328872882803471,-0.4328872882803471
2025-03-19,1.1875,-0.1867436763364243,-0.1867436763364243
2025-03-20,1.125,-0.23597239872520887,-0.23597239872520887
2025-03-21,1.1875,-0.1867436763364243,-0.1867436763364243
2025-03-24,0.5625,-0.6790309002242699,-0.6790309002242699
2025-03-25,1.0,-0.334429843502778,-0.334429843502778
2025-03-26,0.625,-0.6298021778354854,-0.6298021778354854
2025-03-31,1.25,-0.1375149539476397,-0.1375149539476397
2025-04-01,1.3125,-0.08828623155885515,-0.08828623155885515
2025-04-02,0.8125,-0.4821160106691317,-0.4821160106691317
2025-04-03,3.0625,1.2901179953271127,1.2901179953271127
2025-04-07,3.75,1.831633941603743,1.831633941603743
2025-04-08,4.3125,2.274692443102804,2.274692443102804
2025-04-09,3.375,1.5362616072710356,1.5362616072710356
2025-04-15,1.75,0.2563148251626368,0.2563148251626368
2025-04-16,1.0625,-0.2852011211139934,-0.2852011211139934
2025-04-17,1.375,-0.03905750917007059,-0.03905750917007059
2025-04-21,1.6875,0.20708610277385225,0.20708610277385225
2025-04-22,0.5,-0.7282596226130545,-0.7282596226130545
2025-04-23,0.9375,-0.38365856589156255,-0.38365856589156255
2025-04-24,1.5,0.05939993560749855,0.05939993560749855
2025-04-28,1.125,-0.23597239872520887,-0.23597239872520887
2025-04-29,0.3125,-0.8759457897794083,-0.8759457897794083
2025-05-01,1.1875,-0.1867436763364243,-0.1867436763364243
2025-05-05,0.8125,-0.4821160106691317,-0.4821160106691317
2025-05-06,1.0,-0.334429843502778,-0.334429843502778
2025-05-07,1.0,-0.334429843502778,-0.334429843502778
2025-05-09,0.8125,-0.4821160106691317,-0.4821160106691317
2025-05-14,0.8125,-0.4821160106691317,-0.4821160106691317
2025-05-19,1.3125,-0.08828623155885515,-0.08828623155885515
