"(Vol Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,113.0,114.0,113.0,106.0,135.0,150.0
mean,9.336390132397671,9.271929824561404,11.314159292035399,5.066037735849057,7.42962962962963,17.603360188802082
std,5.4741053371975195,4.306375367892484,5.731411993451981,3.2227431909404323,6.65099110641587,12.262122365790221
min,3.5,2.0,2.0,1.5,2.5,2.5
5%,4.5,3.825,4.800000000000001,2.5,2.85,4.5
25%,6.5,6.5,7.0,3.5,4.5,10.625
50%,8.5,8.75,10.0,4.0,5.5,15.5
68%,10.0,10.5,13.580000000000005,5.0,7.5,19.5
90%,12.5,15.050000000000004,17.5,8.5,12.300000000000004,27.0
95%,15.5,17.174999999999997,21.89999999999999,9.875,16.0,33.324999999999974
99%,28.69999999999999,22.980000000000018,28.879999999999995,18.450000000000003,42.17999999999992,76.50999999999999
99.7%,43.27600000000003,26.474500000000006,33.31600000000001,19.527500000000003,50.59800000000001,87.23049999999995
max,50.5,28.0,35.5,20.0,51.0,95.5
