"(Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,429.0,429.0,433.0,416.0,519.0,566.0
mean,2.135780885780886,2.5576923076923075,2.434757505773672,1.1358604431152348,1.5072254335260116,4.254427529055323
std,1.8425324553649105,2.14262733696372,2.2090378328763296,1.2510637704022487,1.583371850890872,3.978440709102169
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.0,0.75,0.25,0.5,1.25
50%,1.75,2.0,1.75,0.75,1.25,3.25
68%,2.5,3.0,3.0,1.25,1.75,5.25
90%,4.25,5.5,5.25,2.25,3.0,9.5
95%,5.25,6.8999999999999915,6.349999999999994,3.0,4.0,11.75
99%,9.579999999999956,10.329999999999956,9.590000000000003,6.462500000000006,7.07000000000005,16.5
99.7%,11.608000000000004,11.0,11.278000000000006,8.816249999999997,12.642000000000053,22.66499999999985
max,13.5,12.0,19.75,9.75,18.25,31.0
