"(Vol Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,471.0,471.0,475.0,457.0,570.0,621.0
mean,4.499515865512209,5.193736730360934,4.915263157894737,2.487439846314277,3.3407894736842105,8.460167533149658
std,2.488969552347775,2.7325886033617426,2.782234115078771,1.8080724932409855,2.570530278643205,5.094956713359764
min,1.5,1.0,1.0,0.5,0.0,0.0
5%,2.25,2.0,2.0,1.0,1.25,2.0
25%,3.0,3.25,3.0,1.5,2.0,5.0
50%,3.75,4.5,4.25,2.0,2.75,7.75
68%,4.75,5.650000000000006,5.5,2.25,3.25,10.0
90%,6.75,8.75,8.25,4.1000000000000085,5.5,14.75
95%,9.5,10.375,10.5,5.999999999999986,9.0,17.5
99%,14.625000000000014,14.050000000000011,12.564999999999998,10.25,13.059999999999945,25.699999999999932
99.7%,19.474999999999937,17.397499999999994,15.261499999999955,11.316000000000003,21.793000000000006,31.85499999999999
max,21.75,19.75,30.0,11.5,23.25,38.25
